#NetworkNum	ID	MatchName	Solvent	AmbiguityScore	Hitscore	CoverageScore	MatchedConnections	UnmatchedConnections
Network40	bmse000013	D_galactose	D2O	1.0	0.2	1.0	CX2-CX1->C2-C1,	
Network40	bmse000022	D_sorbose	D2O	0.5	0.2	1.0	CX2-CX1->C2-C1,	
Network40	bmse000026	D_xylose	D2O	1.0	0.25	1.0	CX2-CX1->C2-C1,	
Network40	bmse000898	D_xylose	D2O	1.0	0.25	1.0	CX2-CX1->C2-C1,	
Network40	bmse000903	D_sorbose	D2O	0.5	0.2	1.0	CX2-CX1->C2-C1,	
Network40	bmse001006	D_galactose	D2O	1.0	0.2	1.0	CX2-CX1->C2-C1,	
Network41	bmse000141	gamma_D_galactonolactone	D2O	0.0	0.2	1.0	CX1-CX2->C2-C5,	
Network41	bmse000233	melibiose	D2O	0.0	0.2	1.0	CX1-CX2->C7-C17,	
Network42	bmse000007	D_3_phosphoglyceric_acid	D2O	0.0	0.5	1.0	CX1-CX2->C4-C2,	
Network42	bmse000166	D_xylonate_cadmium	D2O	0.0	0.25	1.0	CX1-CX2->C2-C5,	
Network42	bmse000167	L_tartaric_acid	D2O	0.0	0.333	1.0	CX1-CX2->C2-C4,	
Network42	bmse000239	D_saccharate	D2O	0.0	0.2	1.0	CX1-CX2->C4-C3,	
Network44	bmse000011	D_fructose_1_6_bisphosphate	D2O	0.0	0.333	1.0	CX1-CX2->C11-C9,	
Network44	bmse000140	D_glucuronate	D2O	0.0	0.5	1.0	CX1-CX2->C2-C1,	
Network45	bmse000140	D_glucuronate	D2O	0.0	0.5	1.0	CX1-CX2->C3-C2,	
Network47	bmse000152	trigonelline	D2O	0.0	0.2	1.0	CX2-CX1->C9-C8,	
Network47	bmse000621	3_pyridine_aldoxime	D2O	0.0	0.2	1.0	CX2-CX1->C9-C4,	
